datetime,host,itemkey,value,score,ts_iso,status
2025-08-18T18:17:48.706904+00:00,Grafana,"system.cpu.util[,system]",1.696389,-0.1052304865941361,2025-08-18T18:01:50Z,executed
2025-08-18T18:17:48.707594+00:00,Prometheus,"system.cpu.util[,system]",1.784832,-0.1390201885447942,2025-08-18T18:02:18Z,executed
