ts,value,host,itemkey
1755533209,0.304819,Zabbix server,"system.cpu.util[,system]"
1755533269,0.343331,Zabbix server,"system.cpu.util[,system]"
1755533329,0.411776,Zabbix server,"system.cpu.util[,system]"
1755533389,0.284071,Zabbix server,"system.cpu.util[,system]"
1755533449,0.275612,Zabbix server,"system.cpu.util[,system]"
1755533509,0.321602,Zabbix server,"system.cpu.util[,system]"
1755533569,0.308328,Zabbix server,"system.cpu.util[,system]"
1755533629,0.289544,Zabbix server,"system.cpu.util[,system]"
1755533689,0.283791,Zabbix server,"system.cpu.util[,system]"
1755533749,0.302355,Zabbix server,"system.cpu.util[,system]"
1755533809,0.263709,Zabbix server,"system.cpu.util[,system]"
1755533869,0.390249,Zabbix server,"system.cpu.util[,system]"
1755533929,0.868211,Zabbix server,"system.cpu.util[,system]"
1755533989,0.389817,Zabbix server,"system.cpu.util[,system]"
1755534049,0.407347,Zabbix server,"system.cpu.util[,system]"
1755534109,0.502793,Zabbix server,"system.cpu.util[,system]"
1755534169,0.526994,Zabbix server,"system.cpu.util[,system]"
1755534229,0.371315,Zabbix server,"system.cpu.util[,system]"
1755534289,0.521893,Zabbix server,"system.cpu.util[,system]"
1755534349,0.353701,Zabbix server,"system.cpu.util[,system]"
1755534409,0.371648,Zabbix server,"system.cpu.util[,system]"
1755534469,0.330005,Zabbix server,"system.cpu.util[,system]"
1755534529,0.307769,Zabbix server,"system.cpu.util[,system]"
1755534589,0.318578,Zabbix server,"system.cpu.util[,system]"
1755534649,0.336869,Zabbix server,"system.cpu.util[,system]"
1755534709,0.320116,Zabbix server,"system.cpu.util[,system]"
1755534769,0.312626,Zabbix server,"system.cpu.util[,system]"
1755534829,0.316165,Zabbix server,"system.cpu.util[,system]"
1755534889,0.307757,Zabbix server,"system.cpu.util[,system]"
1755534949,0.317496,Zabbix server,"system.cpu.util[,system]"
1755535009,0.309029,Zabbix server,"system.cpu.util[,system]"
1755535069,0.316853,Zabbix server,"system.cpu.util[,system]"
1755535129,0.299414,Zabbix server,"system.cpu.util[,system]"
1755535189,0.336902,Zabbix server,"system.cpu.util[,system]"
1755535516,0.456896,Zabbix server,"system.cpu.util[,system]"
1755535549,0.766008,Zabbix server,"system.cpu.util[,system]"
1755535609,0.461273,Zabbix server,"system.cpu.util[,system]"
1755535669,0.830138,Zabbix server,"system.cpu.util[,system]"
1755535729,0.37099,Zabbix server,"system.cpu.util[,system]"
1755535789,0.302245,Zabbix server,"system.cpu.util[,system]"
1755535849,0.304887,Zabbix server,"system.cpu.util[,system]"
1755535909,0.302245,Zabbix server,"system.cpu.util[,system]"
1755535969,0.316986,Zabbix server,"system.cpu.util[,system]"
1755536029,0.282612,Zabbix server,"system.cpu.util[,system]"
1755536089,0.288385,Zabbix server,"system.cpu.util[,system]"
