ts,value,host,itemkey
1755533418,0.300752,Prometheus,"system.cpu.util[,system]"
1755533478,0.283929,Prometheus,"system.cpu.util[,system]"
1755533538,0.322234,Prometheus,"system.cpu.util[,system]"
1755533598,0.303465,Prometheus,"system.cpu.util[,system]"
1755533658,0.275563,Prometheus,"system.cpu.util[,system]"
1755533718,0.320468,Prometheus,"system.cpu.util[,system]"
1755533778,0.267038,Prometheus,"system.cpu.util[,system]"
1755533838,0.327919,Prometheus,"system.cpu.util[,system]"
1755533898,0.740929,Prometheus,"system.cpu.util[,system]"
1755533958,0.492083,Prometheus,"system.cpu.util[,system]"
1755534018,0.366782,Prometheus,"system.cpu.util[,system]"
1755534078,0.517402,Prometheus,"system.cpu.util[,system]"
1755534138,0.443668,Prometheus,"system.cpu.util[,system]"
1755534198,0.477886,Prometheus,"system.cpu.util[,system]"
1755534258,0.498513,Prometheus,"system.cpu.util[,system]"
1755534318,0.396297,Prometheus,"system.cpu.util[,system]"
1755534378,0.402624,Prometheus,"system.cpu.util[,system]"
1755534438,0.331412,Prometheus,"system.cpu.util[,system]"
1755534498,0.310555,Prometheus,"system.cpu.util[,system]"
1755534558,0.321454,Prometheus,"system.cpu.util[,system]"
1755534618,0.320151,Prometheus,"system.cpu.util[,system]"
1755534678,0.335496,Prometheus,"system.cpu.util[,system]"
1755534738,0.312522,Prometheus,"system.cpu.util[,system]"
1755534798,0.306326,Prometheus,"system.cpu.util[,system]"
1755534858,0.299505,Prometheus,"system.cpu.util[,system]"
1755534918,0.327143,Prometheus,"system.cpu.util[,system]"
1755534978,0.313292,Prometheus,"system.cpu.util[,system]"
1755535038,0.304223,Prometheus,"system.cpu.util[,system]"
1755535098,0.314754,Prometheus,"system.cpu.util[,system]"
1755535158,0.313288,Prometheus,"system.cpu.util[,system]"
1755535218,0.313253,Prometheus,"system.cpu.util[,system]"
1755535516,0.535396,Prometheus,"system.cpu.util[,system]"
1755535518,0.630184,Prometheus,"system.cpu.util[,system]"
1755535578,0.450621,Prometheus,"system.cpu.util[,system]"
1755535638,0.902431,Prometheus,"system.cpu.util[,system]"
1755535698,0.410213,Prometheus,"system.cpu.util[,system]"
1755535758,0.300794,Prometheus,"system.cpu.util[,system]"
1755535818,0.314623,Prometheus,"system.cpu.util[,system]"
1755535878,0.307761,Prometheus,"system.cpu.util[,system]"
1755535938,0.304427,Prometheus,"system.cpu.util[,system]"
