ts,value,host,itemkey
1755533419,0.28682,Prometheus,"system.cpu.util[,user]"
1755533479,0.288104,Prometheus,"system.cpu.util[,user]"
1755533539,0.273418,Prometheus,"system.cpu.util[,user]"
1755533599,0.277016,Prometheus,"system.cpu.util[,user]"
1755533659,0.274167,Prometheus,"system.cpu.util[,user]"
1755533719,0.334397,Prometheus,"system.cpu.util[,user]"
1755533779,0.312935,Prometheus,"system.cpu.util[,user]"
1755533839,0.358623,Prometheus,"system.cpu.util[,user]"
1755533899,0.554275,Prometheus,"system.cpu.util[,user]"
1755533959,0.672551,Prometheus,"system.cpu.util[,user]"
1755534019,0.382187,Prometheus,"system.cpu.util[,user]"
1755534079,0.740804,Prometheus,"system.cpu.util[,user]"
1755534139,0.594391,Prometheus,"system.cpu.util[,user]"
1755534199,0.399389,Prometheus,"system.cpu.util[,user]"
1755534259,0.49292,Prometheus,"system.cpu.util[,user]"
1755534319,0.533576,Prometheus,"system.cpu.util[,user]"
1755534379,0.422297,Prometheus,"system.cpu.util[,user]"
1755534439,0.337,Prometheus,"system.cpu.util[,user]"
1755534499,0.310546,Prometheus,"system.cpu.util[,user]"
1755534559,0.328455,Prometheus,"system.cpu.util[,user]"
1755534619,0.334071,Prometheus,"system.cpu.util[,user]"
1755534679,0.315984,Prometheus,"system.cpu.util[,user]"
1755534739,0.315308,Prometheus,"system.cpu.util[,user]"
1755534799,0.284071,Prometheus,"system.cpu.util[,user]"
1755534859,0.309231,Prometheus,"system.cpu.util[,user]"
1755534919,0.289581,Prometheus,"system.cpu.util[,user]"
1755534979,0.265946,Prometheus,"system.cpu.util[,user]"
1755535039,0.305614,Prometheus,"system.cpu.util[,user]"
1755535099,0.271592,Prometheus,"system.cpu.util[,user]"
1755535159,0.307701,Prometheus,"system.cpu.util[,user]"
1755535219,0.278447,Prometheus,"system.cpu.util[,user]"
1755535516,0.584451,Prometheus,"system.cpu.util[,user]"
1755535519,0.663869,Prometheus,"system.cpu.util[,user]"
1755535579,0.621912,Prometheus,"system.cpu.util[,user]"
1755535639,0.423889,Prometheus,"system.cpu.util[,user]"
1755535699,0.417178,Prometheus,"system.cpu.util[,user]"
1755535759,0.314702,Prometheus,"system.cpu.util[,user]"
1755535819,0.300727,Prometheus,"system.cpu.util[,user]"
1755535879,0.292438,Prometheus,"system.cpu.util[,user]"
1755535939,0.307233,Prometheus,"system.cpu.util[,user]"
1755535999,0.293827,Prometheus,"system.cpu.util[,user]"
1755536059,0.305048,Prometheus,"system.cpu.util[,user]"
1755536234,0.413724,Prometheus,"system.cpu.util[,user]"
1755536239,0.470228,Prometheus,"system.cpu.util[,user]"
1755536299,0.504628,Prometheus,"system.cpu.util[,user]"
1755536359,3.467522,Prometheus,"system.cpu.util[,user]"
1755536419,2.136033,Prometheus,"system.cpu.util[,user]"
1755536479,1.115114,Prometheus,"system.cpu.util[,user]"
1755536539,2.353884,Prometheus,"system.cpu.util[,user]"
1755536599,2.064583,Prometheus,"system.cpu.util[,user]"
1755536659,2.658593,Prometheus,"system.cpu.util[,user]"
1755536719,2.43134,Prometheus,"system.cpu.util[,user]"
1755536779,3.217043,Prometheus,"system.cpu.util[,user]"
1755536839,2.08,Prometheus,"system.cpu.util[,user]"
1755536899,2.145648,Prometheus,"system.cpu.util[,user]"
1755536959,2.413145,Prometheus,"system.cpu.util[,user]"
1755537019,1.70924,Prometheus,"system.cpu.util[,user]"
1755537079,1.749654,Prometheus,"system.cpu.util[,user]"
1755537139,2.151555,Prometheus,"system.cpu.util[,user]"
1755537199,1.951152,Prometheus,"system.cpu.util[,user]"
1755537259,2.42898,Prometheus,"system.cpu.util[,user]"
1755537319,1.703825,Prometheus,"system.cpu.util[,user]"
1755537379,2.502676,Prometheus,"system.cpu.util[,user]"
1755537439,3.342559,Prometheus,"system.cpu.util[,user]"
1755537499,2.69918,Prometheus,"system.cpu.util[,user]"
1755537559,2.534,Prometheus,"system.cpu.util[,user]"
1755537619,2.797094,Prometheus,"system.cpu.util[,user]"
1755537679,3.138291,Prometheus,"system.cpu.util[,user]"
1755537739,8.225661,Prometheus,"system.cpu.util[,user]"
1755537799,3.314736,Prometheus,"system.cpu.util[,user]"
1755537859,2.157806,Prometheus,"system.cpu.util[,user]"
1755537919,2.457013,Prometheus,"system.cpu.util[,user]"
1755537979,3.205856,Prometheus,"system.cpu.util[,user]"
1755538039,2.578422,Prometheus,"system.cpu.util[,user]"
1755538099,1.611399,Prometheus,"system.cpu.util[,user]"
1755538159,1.999135,Prometheus,"system.cpu.util[,user]"
1755538219,1.984954,Prometheus,"system.cpu.util[,user]"
1755538279,1.944804,Prometheus,"system.cpu.util[,user]"
1755538339,5.228163,Prometheus,"system.cpu.util[,user]"
1755538399,1.340546,Prometheus,"system.cpu.util[,user]"
1755538459,2.449019,Prometheus,"system.cpu.util[,user]"
1755538519,3.464514,Prometheus,"system.cpu.util[,user]"
1755538579,2.199533,Prometheus,"system.cpu.util[,user]"
1755538639,1.97265,Prometheus,"system.cpu.util[,user]"
1755538699,1.599755,Prometheus,"system.cpu.util[,user]"
1755538759,4.979838,Prometheus,"system.cpu.util[,user]"
1755538819,2.22813,Prometheus,"system.cpu.util[,user]"
1755538879,2.153258,Prometheus,"system.cpu.util[,user]"
1755538939,2.042915,Prometheus,"system.cpu.util[,user]"
1755538999,2.581535,Prometheus,"system.cpu.util[,user]"
1755539059,1.467532,Prometheus,"system.cpu.util[,user]"
1755539119,2.000946,Prometheus,"system.cpu.util[,user]"
1755539179,1.890786,Prometheus,"system.cpu.util[,user]"
1755539239,2.013077,Prometheus,"system.cpu.util[,user]"
1755539299,2.138218,Prometheus,"system.cpu.util[,user]"
1755539359,1.386798,Prometheus,"system.cpu.util[,user]"
1755539419,2.026877,Prometheus,"system.cpu.util[,user]"
1755539479,2.073915,Prometheus,"system.cpu.util[,user]"
1755539539,2.062965,Prometheus,"system.cpu.util[,user]"
1755539599,1.986128,Prometheus,"system.cpu.util[,user]"
1755539659,1.128882,Prometheus,"system.cpu.util[,user]"
1755539719,2.759313,Prometheus,"system.cpu.util[,user]"
1755539779,4.283646,Prometheus,"system.cpu.util[,user]"
1755539839,2.28157,Prometheus,"system.cpu.util[,user]"
1755539899,2.80073,Prometheus,"system.cpu.util[,user]"
1755539959,2.029879,Prometheus,"system.cpu.util[,user]"
1755540019,2.373687,Prometheus,"system.cpu.util[,user]"
1755540079,2.067529,Prometheus,"system.cpu.util[,user]"
1755540139,4.099379,Prometheus,"system.cpu.util[,user]"
1755540199,2.701116,Prometheus,"system.cpu.util[,user]"
1755540259,2.169481,Prometheus,"system.cpu.util[,user]"
1755540319,0.401243,Prometheus,"system.cpu.util[,user]"
1755540379,0.529242,Prometheus,"system.cpu.util[,user]"
1755540439,0.78971,Prometheus,"system.cpu.util[,user]"
1755540500,1.11935,Prometheus,"system.cpu.util[,user]"
1755540559,0.936542,Prometheus,"system.cpu.util[,user]"
1755540619,0.501795,Prometheus,"system.cpu.util[,user]"
1755540679,0.456818,Prometheus,"system.cpu.util[,user]"
1755540739,0.761439,Prometheus,"system.cpu.util[,user]"
1755540799,0.383377,Prometheus,"system.cpu.util[,user]"
1755540859,0.586772,Prometheus,"system.cpu.util[,user]"
1755540919,0.354957,Prometheus,"system.cpu.util[,user]"
1755540979,0.317239,Prometheus,"system.cpu.util[,user]"
1755541039,0.792087,Prometheus,"system.cpu.util[,user]"
1755541099,2.289693,Prometheus,"system.cpu.util[,user]"
1755541159,0.422924,Prometheus,"system.cpu.util[,user]"
1755541219,0.334057,Prometheus,"system.cpu.util[,user]"
1755541279,0.469694,Prometheus,"system.cpu.util[,user]"
1755541339,0.455989,Prometheus,"system.cpu.util[,user]"
1755541399,0.437719,Prometheus,"system.cpu.util[,user]"
1755541459,0.349276,Prometheus,"system.cpu.util[,user]"
1755541519,0.453555,Prometheus,"system.cpu.util[,user]"
1755541579,0.421558,Prometheus,"system.cpu.util[,user]"
1755541639,0.406538,Prometheus,"system.cpu.util[,user]"
1755541699,0.816551,Prometheus,"system.cpu.util[,user]"
1755541759,1.094338,Prometheus,"system.cpu.util[,user]"
1755541819,0.446197,Prometheus,"system.cpu.util[,user]"
1755541879,1.850645,Prometheus,"system.cpu.util[,user]"
1755541939,2.779635,Prometheus,"system.cpu.util[,user]"
1755541999,0.5562,Prometheus,"system.cpu.util[,user]"
1755542059,0.376981,Prometheus,"system.cpu.util[,user]"
1755542119,0.455981,Prometheus,"system.cpu.util[,user]"
1755542179,0.536493,Prometheus,"system.cpu.util[,user]"
1755542239,0.978857,Prometheus,"system.cpu.util[,user]"
1755542299,0.327476,Prometheus,"system.cpu.util[,user]"
1755542359,0.391196,Prometheus,"system.cpu.util[,user]"
1755542419,0.307322,Prometheus,"system.cpu.util[,user]"
1755542479,0.433353,Prometheus,"system.cpu.util[,user]"
