ts,value,host,itemkey
1755533630,0.285376,Grafana,"system.cpu.util[,system]"
1755533690,0.285186,Grafana,"system.cpu.util[,system]"
1755533750,0.302351,Grafana,"system.cpu.util[,system]"
1755533810,0.26369,Grafana,"system.cpu.util[,system]"
1755533870,0.390249,Grafana,"system.cpu.util[,system]"
1755533930,0.864016,Grafana,"system.cpu.util[,system]"
1755533990,0.409559,Grafana,"system.cpu.util[,system]"
1755534050,0.388732,Grafana,"system.cpu.util[,system]"
1755534110,0.498523,Grafana,"system.cpu.util[,system]"
1755534170,0.526972,Grafana,"system.cpu.util[,system]"
1755534230,0.369271,Grafana,"system.cpu.util[,system]"
1755534290,0.521907,Grafana,"system.cpu.util[,system]"
1755534350,0.356511,Grafana,"system.cpu.util[,system]"
1755534410,0.366889,Grafana,"system.cpu.util[,system]"
1755534470,0.3328,Grafana,"system.cpu.util[,system]"
1755534530,0.309136,Grafana,"system.cpu.util[,system]"
1755534590,0.315792,Grafana,"system.cpu.util[,system]"
1755534650,0.339644,Grafana,"system.cpu.util[,system]"
1755534710,0.320129,Grafana,"system.cpu.util[,system]"
1755534770,0.309822,Grafana,"system.cpu.util[,system]"
1755534830,0.316178,Grafana,"system.cpu.util[,system]"
1755534890,0.321655,Grafana,"system.cpu.util[,system]"
1755534950,0.316121,Grafana,"system.cpu.util[,system]"
1755535010,0.304865,Grafana,"system.cpu.util[,system]"
1755535070,0.308474,Grafana,"system.cpu.util[,system]"
1755535130,0.300815,Grafana,"system.cpu.util[,system]"
1755535190,0.3355,Grafana,"system.cpu.util[,system]"
1755535516,0.525652,Grafana,"system.cpu.util[,system]"
1755535550,0.755871,Grafana,"system.cpu.util[,system]"
1755535610,0.465491,Grafana,"system.cpu.util[,system]"
1755535670,0.830173,Grafana,"system.cpu.util[,system]"
1755535730,0.366821,Grafana,"system.cpu.util[,system]"
1755535790,0.305001,Grafana,"system.cpu.util[,system]"
1755535850,0.302111,Grafana,"system.cpu.util[,system]"
1755535910,0.306419,Grafana,"system.cpu.util[,system]"
1755535970,0.318396,Grafana,"system.cpu.util[,system]"
1755536030,0.27842,Grafana,"system.cpu.util[,system]"
1755536090,0.287004,Grafana,"system.cpu.util[,system]"
1755536234,0.387257,Grafana,"system.cpu.util[,system]"
1755536270,0.565253,Grafana,"system.cpu.util[,system]"
1755536330,1.081096,Grafana,"system.cpu.util[,system]"
1755536390,0.651718,Grafana,"system.cpu.util[,system]"
1755536450,0.584945,Grafana,"system.cpu.util[,system]"
1755536510,0.498503,Grafana,"system.cpu.util[,system]"
1755536570,0.737145,Grafana,"system.cpu.util[,system]"
1755536630,0.705043,Grafana,"system.cpu.util[,system]"
1755536690,0.835371,Grafana,"system.cpu.util[,system]"
1755536750,0.821595,Grafana,"system.cpu.util[,system]"
1755536810,0.786009,Grafana,"system.cpu.util[,system]"
1755536870,0.610715,Grafana,"system.cpu.util[,system]"
1755536930,0.966633,Grafana,"system.cpu.util[,system]"
1755536990,0.812613,Grafana,"system.cpu.util[,system]"
1755537050,0.581664,Grafana,"system.cpu.util[,system]"
1755537110,0.630032,Grafana,"system.cpu.util[,system]"
1755537170,0.632876,Grafana,"system.cpu.util[,system]"
1755537230,0.68882,Grafana,"system.cpu.util[,system]"
1755537290,0.63117,Grafana,"system.cpu.util[,system]"
1755537350,0.528498,Grafana,"system.cpu.util[,system]"
1755537410,1.171142,Grafana,"system.cpu.util[,system]"
1755537470,0.897573,Grafana,"system.cpu.util[,system]"
1755537530,0.76935,Grafana,"system.cpu.util[,system]"
1755537590,0.705515,Grafana,"system.cpu.util[,system]"
1755537650,1.038507,Grafana,"system.cpu.util[,system]"
1755537710,2.030494,Grafana,"system.cpu.util[,system]"
1755537770,4.057382,Grafana,"system.cpu.util[,system]"
1755537830,0.977426,Grafana,"system.cpu.util[,system]"
1755537890,0.939386,Grafana,"system.cpu.util[,system]"
1755537950,0.995988,Grafana,"system.cpu.util[,system]"
1755538010,0.70724,Grafana,"system.cpu.util[,system]"
1755538070,0.683387,Grafana,"system.cpu.util[,system]"
1755538130,0.446559,Grafana,"system.cpu.util[,system]"
1755538190,0.781043,Grafana,"system.cpu.util[,system]"
1755538250,0.638925,Grafana,"system.cpu.util[,system]"
1755538310,3.591453,Grafana,"system.cpu.util[,system]"
1755538370,0.830184,Grafana,"system.cpu.util[,system]"
1755538430,0.482548,Grafana,"system.cpu.util[,system]"
1755538490,0.955115,Grafana,"system.cpu.util[,system]"
1755538550,0.66706,Grafana,"system.cpu.util[,system]"
1755538610,0.656025,Grafana,"system.cpu.util[,system]"
1755538670,0.616134,Grafana,"system.cpu.util[,system]"
1755538730,0.672559,Grafana,"system.cpu.util[,system]"
1755538790,2.609531,Grafana,"system.cpu.util[,system]"
1755538850,0.63252,Grafana,"system.cpu.util[,system]"
1755538910,0.627173,Grafana,"system.cpu.util[,system]"
1755538970,0.71156,Grafana,"system.cpu.util[,system]"
1755539030,0.49516,Grafana,"system.cpu.util[,system]"
1755539090,0.621636,Grafana,"system.cpu.util[,system]"
1755539150,0.579137,Grafana,"system.cpu.util[,system]"
1755539210,0.531308,Grafana,"system.cpu.util[,system]"
1755539270,0.615947,Grafana,"system.cpu.util[,system]"
1755539330,0.838863,Grafana,"system.cpu.util[,system]"
1755539390,0.480702,Grafana,"system.cpu.util[,system]"
1755539450,0.63152,Grafana,"system.cpu.util[,system]"
